http_method,endpoint,status_code,response_size,request_rate,session_duration,requests_per_session,time_between_requests,failed_requests,url_length,query_param_count,payload_size,distinct_endpoints_accessed,login_attempts,request_pattern_entropy
patch,/api/search,404,2121,13.08,312,122,0.14,2,15,0,1458,12,10,0.78
patch,/api/login,403,3150,3.09,666,17,14.32,3,35,6,1898,1,0,2.64
put,/api/products,500,3654,2.91,761,12,9.21,0,25,1,2171,4,3,2.18
patch,/api/orders,500,4198,14.11,398,223,0.98,11,22,6,7220,7,2,0.88
patch,/api/cart,429,1417,0.1,255,28,19.35,5,50,9,894,6,1,2.1
post,/api/login,201,3960,3.36,629,4,8.89,4,43,9,7341,2,1,1.42
get,/api/orders,401,3937,0.1,60,53,15.38,0,36,5,889,5,4,2.66
delete,/api/cart,404,1070,1.14,514,1,20.11,2,17,2,8067,3,2,1.5
post,/api/search,201,3890,2.4,450,46,5.31,2,44,10,9655,6,0,2.11
patch,/api/orders,429,3629,12.19,187,105,0.49,3,30,4,6518,10,8,0.56
patch,/api/cart,400,4327,3.64,471,14,23.85,4,49,10,5281,2,2,2.96
patch,/api/products,403,2252,1.41,111,25,34.47,1,24,0,4835,2,0,1.44
patch,/api/payment,404,4723,0.95,649,45,16.36,5,18,0,4117,6,0,2.55
put,/api/payment,429,532,3.23,423,44,27.64,0,42,4,9119,1,1,2.43
post,/api/login,401,1706,12.45,318,291,1.9,11,48,1,8276,10,10,0.6
put,/api/products,401,526,1.85,1146,31,18.16,4,35,6,1857,2,0,2.25
patch,/api/payment,200,736,2.93,454,21,31.6,4,28,10,3492,5,0,3.02
get,/api/cart,401,2318,2.01,137,6,24.61,0,41,6,7391,1,0,2.26
get,/api/cart,429,3436,0.1,1089,7,6.94,2,16,7,2561,4,2,1.38
put,/api/cart,201,2696,10.59,576,112,1.65,3,28,5,3469,13,2,0.17
patch,/api/payment,201,2253,2.52,171,55,13.09,4,21,3,9512,6,3,2.99
put,/api/user/profile,404,2791,3.84,982,22,15.76,4,42,2,79,5,2,1.97
put,/api/search,201,2498,2.93,794,50,16.32,2,23,8,3218,5,3,2.84
patch,/api/cart,400,3196,1.19,135,36,11.8,2,40,3,9660,6,4,2.81
put,/api/user/profile,400,4160,4.37,1112,9,22.73,3,37,0,3585,6,1,2.55
patch,/api/payment,403,2357,10.05,57,60,0.45,12,49,9,2848,15,7,0.96
patch,/api/products,400,3803,3.75,782,53,8.15,2,25,3,1263,1,3,2.54
get,/api/cart,200,2196,1.78,1046,44,18.83,3,17,2,9396,4,3,2.7
get,/api/search,500,4145,16.15,587,49,0.14,12,25,3,6730,12,15,0.6
put,/api/search,429,1425,4.43,200,15,11.44,3,21,2,7796,5,3,2.24
get,/api/orders,429,3071,1.67,921,24,22.71,0,21,6,2193,4,4,3.08
patch,/api/orders,429,3167,4.58,1130,8,23.07,4,21,2,6980,3,0,1.52
patch,/api/products,404,3461,2.92,1048,12,6.53,2,23,10,1951,3,4,2.19
patch,/api/orders,201,2355,2.76,70,52,21.68,0,29,5,1311,1,1,1.97
put,/api/cart,401,1588,0.1,81,13,16.44,5,17,5,3919,5,4,4.0
delete,/api/orders,401,1793,2.2,1185,19,15.38,5,44,6,9419,3,4,3.57
put,/api/products,500,3974,14.36,266,266,3.07,8,16,7,1904,10,11,0.48
put,/api/orders,404,3096,3.21,648,6,30.06,3,28,9,4408,4,2,3.31
post,/api/cart,201,4235,4.89,475,54,10.91,1,15,8,692,1,4,1.91
put,/api/orders,404,3425,2.31,322,4,15.45,4,26,7,1972,5,3,3.16
delete,/api/user/profile,404,3197,0.1,591,12,27.24,4,26,7,6945,5,2,2.41
delete,/api/search,400,4074,1.86,542,36,6.9,3,15,2,6906,6,3,1.51
delete,/api/products,404,2328,3.73,394,4,15.59,1,38,5,9180,4,2,1.73
patch,/api/search,500,1386,0.56,1105,32,12.31,5,25,10,5527,3,3,3.5
post,/api/products,500,3591,2.11,607,39,2.97,5,25,2,378,3,3,2.35
post,/api/search,201,2350,10.91,494,67,0.83,2,24,1,6387,6,14,1.12
patch,/api/payment,400,4617,11.37,343,283,0.54,9,26,9,9790,12,15,1.54
put,/api/products,400,3017,4.19,690,24,12.85,3,33,7,8767,5,2,1.84
delete,/api/payment,429,3299,6.36,825,13,15.47,3,29,4,1297,6,4,2.51
put,/api/cart,403,4230,11.9,80,133,0.28,4,27,5,317,12,6,0.75
put,/api/search,404,3998,2.73,368,1,35.56,3,17,5,1314,4,1,1.84
patch,/api/orders,200,1831,4.58,85,8,0.01,5,44,1,8538,2,1,1.25
post,/api/cart,401,3756,7.04,315,141,0.98,7,35,0,2742,6,2,0.66
patch,/api/payment,200,689,1.94,569,11,3.74,3,37,10,2521,6,0,2.03
put,/api/payment,403,4646,0.83,793,47,29.02,1,46,3,9284,4,2,3.06
patch,/api/search,400,353,4.41,599,35,20.77,2,38,9,3912,4,3,1.82
patch,/api/cart,200,1263,9.9,340,249,1.27,12,26,0,3310,6,7,1.0
delete,/api/user/profile,500,697,10.6,236,76,0.33,2,38,8,6814,6,5,0.71
get,/api/cart,401,4869,3.57,1123,7,18.55,0,26,8,9144,5,1,2.28
delete,/api/login,404,4706,16.64,526,212,1.32,12,35,5,6755,10,4,0.54
patch,/api/search,400,2672,1.09,976,26,1.64,0,15,4,3635,5,0,3.56
patch,/api/user/profile,403,2660,0.64,788,10,8.47,1,20,9,6550,2,2,3.29
post,/api/orders,429,3612,4.99,48,235,0.37,3,22,3,9868,10,14,0.29
get,/api/products,201,2019,5.13,373,4,0.01,5,42,4,6460,5,3,3.52
delete,/api/products,401,4797,2.82,327,49,14.23,1,48,3,3970,6,3,2.17
get,/api/cart,404,3822,3.1,450,21,14.7,2,24,7,735,2,4,3.16
get,/api/cart,200,2918,12.46,304,47,0.66,7,28,8,3471,12,13,0.86
get,/api/orders,201,3383,5.73,641,13,20.38,5,32,10,5901,1,4,2.13
delete,/api/user/profile,200,2226,10.33,554,85,2.16,4,48,4,5465,5,5,0.81
put,/api/search,400,919,3.02,120,36,10.68,2,39,8,3726,6,1,2.03
put,/api/orders,400,3723,2.79,1168,44,7.17,1,24,10,9254,5,1,2.74
post,/api/products,400,414,0.1,902,20,23.23,3,32,9,9290,2,2,2.78
delete,/api/search,403,3583,2.88,1066,31,22.86,1,29,10,3323,1,1,3.5
delete,/api/cart,200,4465,16.06,424,61,0.23,11,21,7,7485,11,13,0.74
get,/api/user/profile,403,646,15.23,460,243,0.58,6,48,2,7595,11,14,0.55
patch,/api/search,201,2248,2.54,111,12,19.14,3,35,10,2686,4,4,2.06
get,/api/user/profile,400,1384,12.75,399,62,0.34,4,26,0,6874,7,7,0.5
get,/api/search,401,1976,0.21,85,30,8.61,3,45,7,6719,4,3,3.3
patch,/api/cart,403,2912,1.17,172,42,19.59,2,20,0,1784,5,0,1.45
patch,/api/payment,201,3700,20.33,378,58,3.31,3,50,1,4797,11,14,0.68
patch,/api/search,429,2792,8.57,551,84,0.04,9,31,8,9423,9,13,1.08
delete,/api/orders,429,3591,3.41,63,8,2.85,0,17,5,5728,2,3,2.5
put,/api/payment,200,1638,1.51,1186,21,1.48,0,27,5,5536,6,0,3.09
delete,/api/search,200,1906,1.97,174,54,16.94,4,36,5,1084,5,2,2.61
post,/api/user/profile,404,3902,2.0,691,46,30.8,2,34,3,8603,2,0,2.47
delete,/api/user/profile,400,1004,5.77,204,214,2.05,9,48,10,2174,10,13,0.64
get,/api/products,403,1919,14.53,57,92,0.38,10,35,3,3154,14,14,1.19
post,/api/search,403,4902,0.1,1112,7,24.15,1,30,2,1167,2,4,1.71
delete,/api/cart,500,3113,2.16,236,28,23.52,3,34,5,3246,6,1,2.57
patch,/api/search,403,3177,3.73,695,44,19.95,5,40,2,5412,2,3,3.27
get,/api/products,201,2869,4.09,773,39,11.37,4,50,10,1162,6,1,2.88
patch,/api/search,404,4660,0.21,486,53,14.54,5,30,2,1276,5,4,2.99
delete,/api/products,404,4249,2.7,891,5,18.57,4,18,1,3565,4,0,2.37
post,/api/cart,403,4871,4.19,858,40,14.36,4,34,6,5640,3,3,2.22
put,/api/login,404,3335,3.83,795,8,3.76,2,40,6,7130,4,0,2.8
put,/api/payment,429,1312,0.94,335,1,25.22,0,20,2,6813,6,0,2.34
delete,/api/user/profile,401,4310,2.7,522,12,18.3,3,32,6,8948,6,4,1.34
get,/api/user/profile,500,839,9.4,296,278,1.18,10,49,9,5119,8,3,1.22
patch,/api/orders,403,703,2.9,652,11,22.12,0,45,9,2770,5,4,2.55
put,/api/orders,201,1630,4.1,629,17,10.86,1,24,10,7317,1,4,3.35
patch,/api/payment,400,1927,21.2,167,293,2.48,8,37,0,4331,15,14,0.65
delete,/api/cart,429,2786,5.27,495,174,1.61,4,48,10,672,12,10,0.1
put,/api/products,404,1673,1.87,861,30,12.75,5,35,8,173,2,1,1.69
delete,/api/products,201,1182,1.12,129,2,6.97,4,20,9,2128,2,0,2.04
get,/api/cart,404,2308,2.45,215,41,16.87,3,25,1,4543,6,2,3.43
post,/api/orders,401,1070,1.0,864,12,22.87,5,43,4,1692,4,3,2.37
delete,/api/search,500,3772,11.8,165,208,1.14,8,40,1,8849,12,11,1.07
patch,/api/user/profile,201,3965,4.25,173,41,27.97,5,33,10,3327,3,0,1.56
get,/api/cart,500,3384,12.3,204,111,0.23,2,19,8,5041,8,5,0.55
get,/api/products,400,4946,1.67,302,14,9.9,5,29,1,604,5,4,3.21
post,/api/cart,201,1135,4.63,689,53,10.43,0,46,9,3613,1,3,2.0
put,/api/login,400,3230,13.89,56,128,2.03,7,50,2,7187,11,3,0.52
delete,/api/payment,429,4099,1.44,73,1,33.86,1,23,3,2344,3,0,3.06
get,/api/user/profile,201,3164,1.24,676,23,16.32,3,49,8,3592,5,0,2.28
post,/api/cart,500,554,3.38,148,4,19.35,5,21,0,8804,3,2,3.15
delete,/api/user/profile,401,3276,1.22,531,50,15.84,0,29,1,7716,4,2,1.45
delete,/api/search,200,2498,6.97,208,223,0.36,6,23,1,7627,14,5,0.79
post,/api/payment,500,3990,19.18,245,84,0.1,8,32,0,7014,8,15,1.08
post,/api/user/profile,500,4257,7.76,491,298,0.1,2,30,1,9150,6,8,0.79
put,/api/search,500,1335,4.28,391,46,35.22,3,40,2,6068,4,4,2.18
put,/api/user/profile,404,622,1.77,1170,37,23.35,1,22,6,5989,1,0,2.91
patch,/api/cart,401,2825,19.39,562,98,0.37,12,37,4,8250,8,9,0.9
patch,/api/user/profile,401,3950,2.96,658,29,22.46,4,20,1,6400,1,2,2.75
get,/api/cart,500,3040,3.11,1126,41,20.72,0,41,7,351,2,2,2.8
put,/api/orders,400,2329,15.43,552,267,1.37,9,29,7,6093,9,6,1.35
post,/api/user/profile,500,2333,3.47,374,11,13.66,1,38,2,3361,2,0,2.59
delete,/api/user/profile,404,2621,16.83,424,295,0.21,4,45,4,9399,13,9,0.47
get,/api/cart,201,2873,3.13,299,20,18.2,0,18,9,3197,3,3,2.36
get,/api/user/profile,404,3456,12.01,209,291,0.41,7,24,6,6056,15,11,0.88
patch,/api/login,201,1376,12.19,305,123,1.2,8,28,4,7776,14,13,1.1
delete,/api/login,429,2571,0.47,418,36,26.96,3,50,7,691,2,4,2.63
post,/api/login,401,433,2.9,1027,8,11.79,5,22,4,8078,6,2,2.82
delete,/api/payment,400,3127,12.19,534,48,0.5,6,25,0,4467,12,4,1.04
patch,/api/cart,403,3169,2.78,402,35,11.43,2,21,8,9503,3,2,2.62
delete,/api/products,201,3618,16.29,525,153,0.08,5,44,1,1909,13,14,0.39
post,/api/payment,401,2718,0.1,118,48,22.72,0,23,3,2133,6,1,2.21
delete,/api/payment,200,742,2.69,127,51,17.94,5,34,10,168,3,4,2.18
post,/api/cart,401,4336,2.3,628,38,0.01,2,19,1,9472,6,2,2.94
patch,/api/login,404,3309,4.12,810,45,1.39,4,42,3,8425,2,1,2.26
patch,/api/search,403,3836,7.08,51,82,1.9,7,29,8,6672,14,9,0.73
put,/api/search,201,1582,0.97,957,34,20.67,5,19,5,3261,6,0,2.65
delete,/api/products,403,4208,1.65,888,32,4.76,4,46,3,2205,1,2,3.02
post,/api/orders,403,4278,3.48,257,49,14.21,0,46,8,4287,2,4,3.61
delete,/api/login,400,4226,0.89,966,30,2.8,0,42,2,5119,3,0,2.08
patch,/api/user/profile,404,2530,2.43,1097,4,16.95,3,35,0,461,5,2,2.36
get,/api/payment,403,895,13.41,363,222,0.29,8,19,4,1875,8,7,0.83
patch,/api/user/profile,201,1886,11.08,32,202,0.55,8,36,7,8237,12,11,0.77
post,/api/orders,201,2959,4.18,157,20,17.74,4,32,1,9280,1,3,2.77
patch,/api/payment,400,352,3.35,469,27,18.58,3,48,2,9451,5,2,2.89
patch,/api/payment,429,3560,4.49,806,30,16.57,1,35,1,3335,3,1,2.93
post,/api/orders,200,1854,2.37,116,16,26.52,2,25,4,2235,4,3,2.09
delete,/api/payment,429,1351,5.2,670,56,14.68,0,30,1,9354,1,3,1.64
put,/api/orders,401,1381,2.69,701,22,9.55,4,21,2,3507,4,3,3.0
patch,/api/products,500,3212,1.52,1032,44,11.43,1,34,0,9925,3,2,1.37
put,/api/user/profile,403,2664,1.82,1155,56,0.01,1,20,3,4872,4,3,1.55
